titre,realisateur,adresse,organisme_demandeur,type_de_tournage,ardt,date_debut,date_fin,x,y
LES CARNIVORES,JEREMIE RENIER,105  RUE  DU FAUBOURG DU TEMPLE/LA JAVA,CHI FOU MI PRODUCTIONS,LONG METRAGE,10ème,2016-07-29,2016-07-29,48.871005, 2.373872
LES EX,MAURICE BARTHELEMY,16  RUE  DEMARQUAY,RADAR FILMS,LONG METRAGE,10ème,2016-08-26,2016-08-26,48.881155, 2.358818
LES EX,MAURICE BARTHELEMY,27  RUE  DU BUISSON SAINT LOUIS,RADAR FILMS,LONG METRAGE,10ème,2016-09-21,2016-09-21,48.873221, 2.374604
LES EX,MAURICE BARTHELEMY,42  RUE  DES PETITES ECURIES,RADAR FILMS,LONG METRAGE,10ème,2016-09-06,2016-09-08,48.873921, 2.350107
LES FANTOMES D'ISMAEL,ARNAUD DESPLESCHIN,39  BOULEVARD  MAGENTA,WHY NOT PRODUCTIONS,LONG METRAGE,10ème,2016-09-12,2016-09-12,48.872477, 2.359217
LES HOMMES DE L'OMBRE,FRED GARSON,BOULEVARD  DE STRASBOURG,MACONDO,SERIE TELEVISEE,10ème,2016-04-05,2016-04-05,48.872684, 2.355912
LES HOMMES DE L'OMBRE,FRED GARSON,PARVIS  DE L'EGLISE SAINT VINCENT DE PAUL,MACONDO,SERIE TELEVISEE,10ème,2016-04-05,2016-04-05,48.88078, 2.352358
LES HOMMES DE L'OMBRE,FRED GARSON,RUE  BOSSUET,MACONDO,SERIE TELEVISEE,10ème,2016-04-05,2016-04-05,48.878665, 2.352375
LES HOMMES DE L'OMBRE,FRED GARSON,RUE  D'ALSACE,MACONDO,SERIE TELEVISEE,10ème,2016-04-05,2016-04-05,48.878292, 2.358371
LES HOMMES DE L'OMBRE,FRED GARSON,RUE  DU 8 MAI 1945,MACONDO,SERIE TELEVISEE,10ème,2016-04-05,2016-04-05,48.876163, 2.357469
LES HOMMES DE L'OMBRE,FRED GARSON,RUE  FENELON,MACONDO,SERIE TELEVISEE,10ème,2016-04-05,2016-04-05,48.87872, 2.351316
LOUE MOI,VIRGINE SCSWARTZ,18  RUE  CAIL,MY FAMILY,LONG METRAGE,10ème,2016-12-02,2016-12-02,48.882821, 2.360227
LOUE MOI,VIRGINE SCSWARTZ,33  BOULEVARD  DE LA CHAPELLE,MY FAMILY,LONG METRAGE,10ème,2016-11-24,2016-11-25,48.884214, 2.360114
LOUE MOI,VIRGINE SCSWARTZ,33  BOULEVARD  DE LA CHAPELLE,MY FAMILY,LONG METRAGE,10ème,2016-11-28,2016-12-02,48.884214, 2.360114
LOUE MOI,VIRGINE SCSWARTZ,RUE  LOUIS BLANC ET PHILIPPE DE GIRARD,MY FAMILY,LONG METRAGE,10ème,2016-11-15,2016-11-15,48.882895, 2.361636
MA PIRE ANGOISSE,VLADIMIR RODIONOFF,RUE  D'ALSACE,LES IMPRODUCTIBLES,SERIE TELEVISEE,10ème,2016-03-29,2016-03-29,48.878292, 2.358371
MA PIRE ANGOISSE,VLADIMIR RODIONOFF,RUE  DU FAUBOURG SAINT MARTIN,LES IMPRODUCTIBLES,SERIE TELEVISEE,10ème,2016-03-29,2016-03-29,48.876172, 2.360673
MARVIN,ANNE FONTAINE,18  BOULEVARD  SAINT MARTIN,CINE @,LONG METRAGE,10ème,2016-08-30,2016-08-30,48.868938, 2.356718
MARVIN,ANNE FONTAINE,60  RUE  RENE BOULANGER,CINE @,LONG METRAGE,10ème,2016-08-30,2016-08-30,48.868954, 2.35891
MARVIN,ANNE FONTAINE,BOULEVARD  DE STRASBOURG,CINE @,LONG METRAGE,10ème,2016-08-26,2016-08-26,48.872684, 2.355912
MARVIN,ANNE FONTAINE,RUE  D'ALSACE,CINE @,LONG METRAGE,10ème,2016-08-26,2016-08-26,48.878292, 2.358371
MARVIN,ANNE FONTAINE,RUE  DU 8 MAI 1945,CINE @,LONG METRAGE,10ème,2016-08-26,2016-08-26,48.876163, 2.357469
MARVIN,ANNE FONTAINE,RUE  DU FAUBOURG SAINT MARTIN,CINE @,LONG METRAGE,10ème,2016-08-26,2016-08-26,48.876172, 2.360673
MON POUSSIN,FREDERIC FORESTIER,13  RUE  LOUVEL TESSIER,LES FILMS DU 24,LONG METRAGE,10ème,2016-03-22,2016-03-22,48.871181, 2.369656
MONSIEUR ET MADAME ADELMAN,NICOLAS BEDOS,3  IMPASSE  BONNE NOUVELLE,LES FILMS DU KIOSQUE,LONG METRAGE,10ème,2016-02-09,2016-02-09,48.870697, 2.350574
NUMERO UNE,TONIE MARSHALL,42  RUE  DES PETITES ECURIES,TABO TABO FILMS,LONG METRAGE,10ème,2016-11-10,2016-11-10,48.873921, 2.350107
NUMERO UNE,TONIE MARSHALL,45  RUE  DES PETITES ECURIES,TABO TABO FILMS,LONG METRAGE,10ème,2016-11-09,2016-11-09,48.873842, 2.349633
PARIS LA BLANCHE,LIDIA TERKI,BOULEVARD  DE CLICHY,DAY FOR NIGHT,LONG METRAGE,10ème,2016-02-13,2016-02-13,48.884187, 2.35884
PLONGER,MELANIE LAURENT,2  RUE  BEAUREPAIRE,MOVE MOVIE,LONG METRAGE,10ème,2016-05-04,2016-05-04,48.868902, 2.363321
PLONGER,MELANIE LAURENT,RUE  LEON JOUHAUX,MOVE MOVIE,LONG METRAGE,10ème,2016-05-19,2016-05-19,48.86926, 2.36497
PLONGER,MELANIE LAURENT,RUE  YVES TOUDIC,MOVE MOVIE,LONG METRAGE,10ème,2016-05-19,2016-05-19,48.87013, 2.363473
QUE LE DIABLE NOUS EMPORTE,JEAN CLAUDE BRISSEAU,73  RUE  DE MAUBEUGE,LA SORCIERE ROUGE,LONG METRAGE,10ème,2016-04-20,2016-04-21,48.880061, 2.350502
SIMONE BENLOULOU,MYRIAM AZIZA,33  BOULEVARD  DE LA CHAPELLE,INCOGNITA,LONG METRAGE,10ème,2016-10-24,2016-10-28,48.884214, 2.360114
SIMONE BENLOULOU,MYRIAM AZIZA,5  RUE  DE DUNKERQUE,INCOGNITA,LONG METRAGE,10ème,2016-10-14,2016-10-14,48.879301, 2.358142
SIMONE BENLOULOU,MYRIAM AZIZA,5/7  RUE  DE L'AQUEDUC,INCOGNITA,LONG METRAGE,10ème,2016-10-14,2016-10-14,48.880082, 2.358889
SOUS LE MEME TOIT,DOMINIQUE FARRUGIA,13/15  RUE  DES PETITES ECURIES,EUROPA CORP,LONG METRAGE,10ème,2016-07-07,2016-07-07,48.872579, 2.351829
SOUS LE MEME TOIT,DOMINIQUE FARRUGIA,27/50  RUE  DU CHATEAU LANDON/LYCEE COLBERT,EUROPA CORP,LONG METRAGE,10ème,2016-06-20,2016-06-20,48.883414, 2.364165
TELLE MERE TELLE FILLE,NOEMIE SAGLIO,15  RUE  RENE BOULANGER,PAN EUROPENNE PRODUCTION,LONG METRAGE,10ème,2016-06-13,2016-06-13,48.869212, 2.357321
TELLE MERE TELLE FILLE,NOEMIE SAGLIO,15  RUE  RENE BOULANGER,PAN EUROPENNE PRODUCTION,LONG METRAGE,10ème,2016-07-28,2016-07-28,48.869212, 2.357321
TELLE MERE TELLE FILLE,NOEMIE SAGLIO,15  RUE  RENE BOULANGER,PAN EUROPENNE PRODUCTION,LONG METRAGE,10ème,2016-07-29,2016-07-29,48.869212, 2.357321
TELLE MERE TELLE FILLE,NOEMIE SAGLIO,34/52  RUE  DU CHATEAU D'EAU,PAN EUROPENNE PRODUCTION,LONG METRAGE,10ème,2016-06-13,2016-06-13,48.871558, 2.357742
TELLE MERE TELLE FILLE,NOEMIE SAGLIO,43/61  RUE  DU FAUBOURG SAINT MARTIN,PAN EUROPENNE PRODUCTION,LONG METRAGE,10ème,2016-06-13,2016-06-13,48.871623, 2.356947
TELLE MERE TELLE FILLE,NOEMIE SAGLIO,66  RUE  RENE BOULANGER,PAN EUROPENNE PRODUCTION,LONG METRAGE,10ème,2016-08-01,2016-08-03,48.869092, 2.358482
THE AFFAIR,JEFFREY REINER,PASSERELLE*  DE LA GRANGE AUX BELLES,GEM FILMS,SERIE TELEVISEE,10ème,2016-12-05,2016-12-05,48.875378, 2.367373
THE AFFAIR,JEFFREY REINER,QUAI  DE JEMMAPES,GEM FILMS,SERIE TELEVISEE,10ème,2016-12-05,2016-12-05,48.87605, 2.364833
THE AFFAIR,JEFFREY REINER,QUAI  DE VALMY,GEM FILMS,SERIE TELEVISEE,10ème,2016-12-05,2016-12-05,48.876988, 2.364734
THE ESCAPE,DOMINIC SAVAGE,2/10  COUR  DES PETITES ECURIES,HANNA FILMS,LONG METRAGE,10ème,2016-10-21,2016-10-21,48.872661, 2.352878
THE ESCAPE,DOMINIC SAVAGE,4  RUE  MAZAGRAN,HANNA FILMS,LONG METRAGE,10ème,2016-10-22,2016-10-22,48.870312, 2.351399
THE ESCAPE,DOMINIC SAVAGE,BOULEVARD  DE BONNE NOUVELLE,HANNA FILMS,LONG METRAGE,10ème,2016-10-19,2016-10-19,48.870428, 2.350449
