titre,realisateur,adresse,organisme_demandeur,type_de_tournage,ardt,date_debut,date_fin,x,y
10%/SAISON 2,JEANNE HERRY,149  RUE  SAINT HONORE,MON VOISIN PRODUCTIONS,SERIE TELEVISEE,1er,2016-09-05,2016-09-05,48.862012, 2.339698
10%/SAISON 2,JEANNE HERRY,234  RUE  DE RIVOLI,MON VOISIN PRODUCTIONS,SERIE TELEVISEE,1er,2016-09-05,2016-09-05,48.865375, 2.327206
10%/SAISON 2,JEANNE HERRY,RUE  CROIX DES PETITS CHAMPS,MON VOISIN PRODUCTIONS,SERIE TELEVISEE,1er,2016-09-05,2016-09-05,48.863996, 2.340163
10%/SAISON 2,JEANNE HERRY,RUE  DE RIVOLI,MON VOISIN PRODUCTIONS,SERIE TELEVISEE,1er,2016-09-05,2016-09-05,48.861863, 2.338081
10%/SAISON 2,JEANNE HERRY,RUE  DE RIVOLI/DE CASTIGLIONE,MON VOISIN PRODUCTIONS,SERIE TELEVISEE,1er,2016-09-05,2016-09-05,48.865778, 2.327951
10%/SAISON 2,JEANNE HERRY,RUE  MARENGO,MON VOISIN PRODUCTIONS,SERIE TELEVISEE,1er,2016-09-05,2016-09-05,48.861861, 2.339391
120 BATTEMENTS PAR MINUTE,ROBIN CAMPILLO,7  PLACE  VENDOME,LES FILMS DE PIERRE,LONG METRAGE,1er,2016-10-17,2016-10-17,48.867285, 2.328333
120 BATTEMENTS PAR MINUTE,ROBIN CAMPILLO,RUE  DE HARLAY,LES FILMS DE PIERRE,LONG METRAGE,1er,2016-07-02,2016-07-02,48.856701, 2.343164
120 BATTEMENTS PAR MINUTE,ROBIN CAMPILLO,RUE  DES BOURDONNAIS,LES FILMS DE PIERRE,LONG METRAGE,1er,2016-07-02,2016-07-02,48.859439, 2.344681
120 BATTEMENTS PAR MINUTE,ROBIN CAMPILLO,RUE  EDOUARD COLONNA,LES FILMS DE PIERRE,LONG METRAGE,1er,2016-07-02,2016-07-02,48.857892, 2.345601
ALICE NEVERS  LE JUGE EST UNE FEMME/80 ET 81,JULIEN ZIDI,4  BOULEVARD  DU PALAIS/PALAIS DE JUSTICE,EGO PRODUCTION,SERIE TELEVISEE,1er,2016-03-01,2016-03-01,48.855732, 2.345992
ALICE NEVERS  LE JUGE EST UNE FEMME/80 ET 81,JULIEN ZIDI,7  RUE  DE HARLAY,EGO PRODUCTION,SERIE TELEVISEE,1er,2016-03-01,2016-03-01,48.856701, 2.343164
ALICE NEVERS  LE JUGE EST UNE FEMME/82 ET 83,ERIC LE ROUX,184/192  RUE  DE RIVOLI,EGO PRODUCTION,SERIE TELEVISEE,1er,2016-04-04,2016-04-04,48.863714, 2.332362
ALICE NEVERS  LE JUGE EST UNE FEMME/82 ET 83,ERIC LE ROUX,254/256  RUE  SAINT HONORE,EGO PRODUCTION,SERIE TELEVISEE,1er,2016-04-01,2016-04-01,48.864119, 2.333768
ALICE NEVERS  LE JUGE EST UNE FEMME/82 ET 83,ERIC LE ROUX,3  RUE  D'ARGENTEUIL,EGO PRODUCTION,SERIE TELEVISEE,1er,2016-04-01,2016-04-01,48.864359, 2.334043
ALICE NEVERS  LE JUGE EST UNE FEMME/82 ET 83,ERIC LE ROUX,3  RUE  D'ARGENTEUIL,EGO PRODUCTION,SERIE TELEVISEE,1er,2016-04-04,2016-04-04,48.864359, 2.334043
ALICE NEVERS  LE JUGE EST UNE FEMME/82 ET 83,ERIC LE ROUX,36/40  QUAI  DES ORFEVRES,EGO PRODUCTION,SERIE TELEVISEE,1er,2016-03-24,2016-03-24,48.856182, 2.342193
ALICE NEVERS  LE JUGE EST UNE FEMME/82 ET 83,ERIC LE ROUX,4  BOULEVARD  DU PALAIS,EGO PRODUCTION,SERIE TELEVISEE,1er,2016-03-24,2016-03-24,48.855732, 2.345992
ALICE NEVERS  LE JUGE EST UNE FEMME/82 ET 83,ERIC LE ROUX,5/7  RUE  DE L'ECHELLE,EGO PRODUCTION,SERIE TELEVISEE,1er,2016-04-04,2016-04-04,48.864024, 2.334199
ALICE NEVERS  LE JUGE EST UNE FEMME/82 ET 83,ERIC LE ROUX,7  RUE  DE L'ECHELLE,EGO PRODUCTION,SERIE TELEVISEE,1er,2016-03-30,2016-03-30,48.864024, 2.334199
ALICE NEVERS  LE JUGE EST UNE FEMME/82 ET 83,ERIC LE ROUX,7  RUE  DE L'ECHELLE,EGO PRODUCTION,SERIE TELEVISEE,1er,2016-03-31,2016-03-31,48.864024, 2.334199
ALICE NEVERS  LE JUGE EST UNE FEMME/84 ET 85,ERIC LE ROUX,QUAI  DES ORFEVRES,EGO PRODUCTION,SERIE TELEVISEE,1er,2016-09-30,2016-09-30,48.856182, 2.342193
ALICE NEVERS  LE JUGE EST UNE FEMME/84 ET 85,ERIC LE ROUX,RUE  DE HARLEY,EGO PRODUCTION,SERIE TELEVISEE,1er,2016-09-30,2016-09-30,48.859868, 2.346812
ALICE NEVERS LE JUGE EST UNE FEMME/86 ET 87,CHRISTOPHE DELPIAS,10  BOULEVARD  DU PALAIS,EGO PRODUCTION,SERIE TELEVISEE,1er,2016-12-02,2016-12-02,48.854983, 2.345426
ALICE NEVERS LE JUGE EST UNE FEMME/86 ET 87,CHRISTOPHE DELPIAS,RUE  DE HARLAY,EGO PRODUCTION,SERIE TELEVISEE,1er,2016-12-02,2016-12-02,48.856701, 2.343164
AMANT DOUBLE,FRANCOIS OZON,17  RUE  PIERRE LESCOT,MANDARIN FILMS,LONG METRAGE,1er,2016-11-16,2016-11-16,48.863176, 2.348725
AURORE TABORT,BLANDINE LENOIR,17  RUE  DES HALLES,KARE PRODUCTIONS,LONG METRAGE,1er,2016-04-11,2016-04-11,48.8603, 2.34607
BARBARA,MATHIEU AMALRIC,7  RUE  DE L'ECHELLE,WAITING FOR CINEMA,LONG METRAGE,1er,2016-11-21,2016-11-21,48.864024, 2.334199
BARBARA,MATHIEU AMALRIC,PLACE  DU CHATELET,WAITING FOR CINEMA,LONG METRAGE,1er,2016-11-28,2016-11-28,48.8576, 2.346755
BEFIKRE,ADITYA CHOPRA,3  RUE  DE CASTIGLIONE,FIRSTEP,LONG METRAGE,1er,2016-04-25,2016-04-25,48.865715, 2.327482
BEFIKRE,ADITYA CHOPRA,PONT  DU CARROUSEL,FIRSTEP,LONG METRAGE,1er,2016-04-27,2016-04-27,48.863553, 2.339905
BEFIKRE,ADITYA CHOPRA,SQUARE  DE LA PLACE DAUPHINE,FIRSTEP,LONG METRAGE,1er,2016-05-12,2016-05-13,48.856822, 2.342303
CARBONE,OLIVIER MARCHAL,PLACE  VENDOME,LES FILMS MANUEL MUNZ,LONG METRAGE,1er,2016-12-09,2016-12-09,48.868113, 2.329705
CHEFS - SAISON 2,ARNAUD MALHERBE,18/20  RUE  COQUILLERE,CALT PRODUCTION,SERIE TELEVISEE,1er,2016-06-04,2016-06-04,48.86388, 2.342604
CHEFS - SAISON 2,ARNAUD MALHERBE,3  RUE  DE CASTIGLIONE,CALT PRODUCTION,SERIE TELEVISEE,1er,2016-03-21,2016-03-21,48.865715, 2.327482
CHEFS - SAISON 2,ARNAUD MALHERBE,3  RUE  DE CASTIGLIONE,CALT PRODUCTION,SERIE TELEVISEE,1er,2016-03-23,2016-03-25,48.865715, 2.327482
CHEFS - SAISON 2,ARNAUD MALHERBE,3  RUE  DE CASTIGLIONE,CALT PRODUCTION,SERIE TELEVISEE,1er,2016-03-29,2016-03-29,48.865715, 2.327482
CHEFS - SAISON 2,ARNAUD MALHERBE,8  RUE  DES HALLES,CALT PRODUCTION,SERIE TELEVISEE,1er,2016-06-04,2016-06-04,48.859367, 2.347219
CHEFS - SAISON 2,ARNAUD MALHERBE,PONT  NEUF,CALT PRODUCTION,SERIE TELEVISEE,1er,2016-06-04,2016-06-04,48.860317, 2.344139
CHEFS - SAISON 2,ARNAUD MALHERBE,RUE  DE CASTIGLIONE,CALT PRODUCTION,SERIE TELEVISEE,1er,2016-03-28,2016-03-28,48.865778, 2.327951
CHRONIQUES PARISIENNES,ZABOU BREITMAN,2  BOULEVARD  DU PALAIS,LES FILMS DU KIOSQUE,SERIE TELEVISEE,1er,2016-10-01,2016-10-01,48.856076, 2.346145
CHRONIQUES PARISIENNES,ZABOU BREITMAN,PLACE  VENDOME,LES FILMS DU KIOSQUE,SERIE TELEVISEE,1er,2016-12-29,2016-12-29,48.868113, 2.329705
CHRONIQUES PARISIENNES,ZABOU BREITMAN,PONT  DES ARTS,LES FILMS DU KIOSQUE,SERIE TELEVISEE,1er,2016-10-01,2016-10-01,48.863109, 2.33838
CHRONIQUES PARISIENNES,ZABOU BREITMAN,QUAI  DE CONTI,LES FILMS DU KIOSQUE,SERIE TELEVISEE,1er,2016-10-01,2016-10-01,48.85694, 2.342827
CHRONIQUES PARISIENNES,ZABOU BREITMAN,QUAI  DE LA MEGISSERIE,LES FILMS DU KIOSQUE,SERIE TELEVISEE,1er,2016-10-01,2016-10-01,48.857978, 2.344823
CHRONIQUES PARISIENNES,ZABOU BREITMAN,SQUARE  DE LA PLACE DAUPHINE,LES FILMS DU KIOSQUE,SERIE TELEVISEE,1er,2016-10-01,2016-10-01,48.856822, 2.342303
DALIDA,LISA AZUELOS,2  PLACE  DES PYRAMIDES (HOTEL REGINA),BETHSABEE MUCHO,LONG METRAGE,1er,2016-03-09,2016-03-09,48.863961, 2.332599
ENGRENAGES SAISON 6/N° 7 A 12,FREDERIC MERMOUD,PALAIS*  DE JUSTICE,SON ET LUMIERE,SERIE TELEVISEE,1er,2016-11-02,2016-11-02,48.862388, 2.337206
ENGRENAGES SAISON 6/N° 7 A 12,FREDERIC MERMOUD,QUAI  DE L'HORLOGE,SON ET LUMIERE,SERIE TELEVISEE,1er,2016-11-02,2016-11-02,48.85694, 2.342827
ENGRENAGES/SAISON 6/N° 1 A 6,FREDERIC JARDIN,11  PLACE  DAUPHINE/PALAIS DE JUSTICE,SON ET LUMIERE,SERIE TELEVISEE,1er,2016-07-25,2016-07-29,48.856212, 2.342446
ENGRENAGES/SAISON 6/N° 1 A 6,FREDERIC JARDIN,11  PLACE  DAUPHINE/PALAIS DE JUSTICE,SON ET LUMIERE,SERIE TELEVISEE,1er,2016-08-01,2016-08-03,48.856212, 2.342446
ENGRENAGES/SAISON 6/N° 1 A 6,FREDERIC JARDIN,4  BOULEVARD  DU PALAIS/PALAIS DE JUSTICE,SON ET LUMIERE,SERIE TELEVISEE,1er,2016-07-25,2016-07-29,48.855732, 2.345992
ENGRENAGES/SAISON 6/N° 1 A 6,FREDERIC JARDIN,4  BOULEVARD  DU PALAIS/PALAIS DE JUSTICE,SON ET LUMIERE,SERIE TELEVISEE,1er,2016-07-30,2016-07-30,48.855732, 2.345992
ENGRENAGES/SAISON 6/N° 1 A 6,FREDERIC JARDIN,4  BOULEVARD  DU PALAIS/PALAIS DE JUSTICE,SON ET LUMIERE,SERIE TELEVISEE,1er,2016-08-01,2016-08-03,48.855732, 2.345992
ENGRENAGES/SAISON 6/N° 1 A 6,FREDERIC JARDIN,SQUARE  DE LA PLACE DAUPHINE,SON ET LUMIERE,SERIE TELEVISEE,1er,2016-07-30,2016-07-30,48.856822, 2.342303
EYE ON JULIET,KIM NGUYEN,PLACE  DU PONT NEUF,LA RUCHE PRODUCTION,LONG METRAGE,1er,2016-07-19,2016-07-19,48.857039, 2.341573
EYE ON JULIET,KIM NGUYEN,QUAI  DE L'HORLOGE,LA RUCHE PRODUCTION,LONG METRAGE,1er,2016-07-19,2016-07-19,48.85694, 2.342827
FREED,JAMES FOLEY,PLACE  DU CARROUSEL,PENINSULA FILM,LONG METRAGE,1er,2016-07-19,2016-07-20,48.862265, 2.345678
IRIS/EX CHAOS,JALIL LESPERT,14  PLACE  DAUPHINE,WY PRODUCTIONS,LONG METRAGE,1er,2016-02-16,2016-02-17,48.85677, 2.342619
IRIS/EX CHAOS,JALIL LESPERT,SQUARE  DE LA PLACE DAUPHINE,WY PRODUCTIONS,LONG METRAGE,1er,2016-02-15,2016-02-15,48.856822, 2.342303
IRIS/EX CHAOS,JALIL LESPERT,SQUARE  DE LA PLACE DAUPHINE,WY PRODUCTIONS,LONG METRAGE,1er,2016-02-18,2016-02-18,48.856822, 2.342303
JOSEPHINE ANGE GARDIEN/EPISODE 81,DENIS THYBAUD,2  PLACE  DES PYRAMIDES,DEMD PRODUCTIONS,SERIE TELEVISEE,1er,2016-06-01,2016-06-01,48.863961, 2.332599
JOUR J,REEM KHERICI,5  AVENUE  DE L'OPERA,MANDARIN FILMS,LONG METRAGE,1er,2016-08-19,2016-08-19,48.864789, 2.334598
L'ART DU CRIME,CHARLOTTE BRANDSTROM,143  RUE  SAINT HONORE/TABAC BRASSERIE L'ORATOIRE,GAUMONT TELEVISION,SERIE TELEVISEE,1er,2016-07-12,2016-07-12,48.861797, 2.340608
LA DOULEUR,EMMANUEL FINKIEL,2  PLACE  DES PYRAMIDES/HOTEL REGINA,LES FILMS DU POISSON,LONG METRAGE,1er,2016-09-05,2016-09-05,48.863961, 2.332599
LA NIAQUE,CHAD CHENOUGA,RUE  DE LA COSSONNERIE,TS PRODUCTIONS,LONG METRAGE,1er,2016-04-25,2016-04-25,48.861539, 2.348699
LA NIAQUE,CHAD CHENOUGA,RUE  DE LA GRANDE TRUANDERIE,TS PRODUCTIONS,LONG METRAGE,1er,2016-04-25,2016-04-25,48.86283, 2.349096
LA NIAQUE,CHAD CHENOUGA,RUE  DES PRECHEURS,TS PRODUCTIONS,LONG METRAGE,1er,2016-04-25,2016-04-25,48.861999, 2.34886
LA NIAQUE,CHAD CHENOUGA,RUE  DU CYGNE,TS PRODUCTIONS,LONG METRAGE,1er,2016-04-25,2016-04-25,48.863212, 2.349075
LA NIAQUE,CHAD CHENOUGA,RUE  RAMBUTEAU,TS PRODUCTIONS,LONG METRAGE,1er,2016-04-25,2016-04-25,48.86253, 2.348046
LA NIAQUE,CHAD CHENOUGA,RUE  SAINT DENIS,TS PRODUCTIONS,LONG METRAGE,1er,2016-04-25,2016-04-25,48.861193, 2.348739
LADIES,ANNE GAËLLE DAVAL,9  RUE  DE LA GRANDE TRUANDERIE,NOLITA CINEMA,LONG METRAGE,1er,2016-09-20,2016-09-20,48.862714, 2.34922
LADIES,ANNE GAËLLE DAVAL,9  RUE  DE LA GRANDE TRUANDERIE,NOLITA CINEMA,LONG METRAGE,1er,2016-09-22,2016-09-22,48.862714, 2.34922
LE BRIO,YVAN ATTAL,4  BOULEVARD  DU PALAIS,CHAPTER 2,LONG METRAGE,1er,2016-11-14,2016-11-15,48.855732, 2.345992
LE BRIO,YVAN ATTAL,4  BOULEVARD  DU PALAIS,CHAPTER 2,LONG METRAGE,1er,2016-12-09,2016-12-09,48.855732, 2.345992
LE BUREAU DES LEGENDES/SAISON 2,ERIC ROCHANT,23  RUE  DES PETITS CHAMPS,THE OLIGARCHS PRODUCTIONS,SERIE TELEVISEE,1er,2016-11-18,2016-11-18,48.866581, 2.337473
LE GRAND SAUT,E.TOLENADO/O.NAKACHE,7  RUE  DE L'ECHELLE,QUAD,LONG METRAGE,1er,2016-06-29,2016-06-29,48.864024, 2.334199
LE PETIT SPIROU,NICOLAS BARY,PLACE  DES PYRAMIDES/HOTEL REGINA,LES FILMS DU CAP,LONG METRAGE,1er,2016-09-08,2016-09-08,48.86396, 2.332365
LE REDOUTABLE,MICHEL HAZANAVICIUS,17  RUE  DES PYRAMIDES,LES COMPAGNONS DU CINEMA,LONG METRAGE,1er,2016-07-27,2016-07-27,48.865458, 2.333196
LES EX,MAURICE BARTHELEMY,4  RUE  DE VALOIS,RADAR FILMS,LONG METRAGE,1er,2016-09-05,2016-09-05,48.863111, 2.337787
LES EX,MAURICE BARTHELEMY,BOULEVARD  DU PALAIS,RADAR FILMS,LONG METRAGE,1er,2016-10-05,2016-10-05,48.855567, 2.34585
LES EX,MAURICE BARTHELEMY,PLACE  DAUPHINE,RADAR FILMS,LONG METRAGE,1er,2016-10-05,2016-10-05,48.856822, 2.342303
LES FANTOMES D'ISMAEL,ARNAUD DESPLESCHIN,7  RUE  DE L'ECHELLE/HOTEL NORMANDIE,WHY NOT PRODUCTIONS,LONG METRAGE,1er,2016-10-19,2016-10-19,48.864024, 2.334199
LES FANTOMES D'ISMAEL,ARNAUD DESPLESCHIN,EGLISE  SAINT GERMAIN DE L'AUXERROIS,WHY NOT PRODUCTIONS,LONG METRAGE,1er,2016-10-19,2016-10-19,48.858339, 2.344498
LES HOMMES DE L'OMBRE,FRED GARSON,1  PLACE  DU PALAIS ROYAL,MACONDO,SERIE TELEVISEE,1er,2016-01-26,2016-01-26,48.862728, 2.336185
LES HOMMES DE L'OMBRE,FRED GARSON,17  PLACE  DAUPHINE (LE BAR DU CAVEAU),MACONDO,SERIE TELEVISEE,1er,2016-04-04,2016-04-04,48.856454, 2.342146
LES HOMMES DE L'OMBRE,FRED GARSON,244  RUE  DE RIVOLI,MACONDO,SERIE TELEVISEE,1er,2016-03-31,2016-03-31,48.866055, 2.325289
LES HOMMES DE L'OMBRE,FRED GARSON,PLACE  ANDRE MALRAUX,MACONDO,SERIE TELEVISEE,1er,2016-02-09,2016-02-09,48.863947, 2.334907
LES HOMMES DE L'OMBRE,FRED GARSON,PLACE  DU PONT NEUF,MACONDO,SERIE TELEVISEE,1er,2016-04-04,2016-04-04,48.857039, 2.341573
LES HOMMES DE L'OMBRE,FRED GARSON,PONT  NEUF,MACONDO,SERIE TELEVISEE,1er,2016-04-04,2016-04-04,48.860317, 2.344139
LES HOMMES DE L'OMBRE,FRED GARSON,QUAI  DE L'HORLOGE,MACONDO,SERIE TELEVISEE,1er,2016-04-04,2016-04-04,48.85694, 2.342827
LES HOMMES DE L'OMBRE,FRED GARSON,RUE  DE HARLAY,MACONDO,SERIE TELEVISEE,1er,2016-04-04,2016-04-04,48.856701, 2.343164
LES HOMMES DE L'OMBRE,FRED GARSON,SQUARE  DE LA PLACE DAUPHINE,MACONDO,SERIE TELEVISEE,1er,2016-04-04,2016-04-04,48.856822, 2.342303
LES OPTIMISTES,ALEXEÏ POPOGREBSKY,7  RUE  DE L'ECHELLE,SERVICE PARIS PRODUCTION,SERIE TELEVISEE,1er,2016-08-23,2016-08-23,48.864024, 2.334199
LES OPTIMISTES,ALEXEÏ POPOGREBSKY,QUAI  D'ORLEANS,SERVICE PARIS PRODUCTION,SERIE TELEVISEE,1er,2016-08-23,2016-08-23,48.856182, 2.342193
LOVE LOCKS,MARTIN WOOD,PALAIS  DE JUSTICE,LES FILMS DU MARIGOT,TELEFILM,1er,2016-11-30,2016-11-30,48.862388, 2.337206
LOVE LOCKS,MARTIN WOOD,PLACE  DAUPHINE,LES FILMS DU MARIGOT,TELEFILM,1er,2016-11-30,2016-11-30,48.856822, 2.342303
LOVE LOCKS,MARTIN WOOD,PONT  NEUF,LES FILMS DU MARIGOT,TELEFILM,1er,2016-11-29,2016-11-29,48.860317, 2.344139
LOVE LOCKS,MARTIN WOOD,PONT  NEUF,LES FILMS DU MARIGOT,TELEFILM,1er,2016-11-30,2016-11-30,48.860317, 2.344139
LOVE LOCKS,MARTIN WOOD,QUAI  DES ORFEVRES,LES FILMS DU MARIGOT,TELEFILM,1er,2016-11-29,2016-11-29,48.856182, 2.342193
LOVE LOCKS,MARTIN WOOD,QUAI  DES ORFEVRES,LES FILMS DU MARIGOT,TELEFILM,1er,2016-11-30,2016-11-30,48.856182, 2.342193
LOVE LOCKS,MARTIN WOOD,QUAI  DES TUILERIES,LES FILMS DU MARIGOT,TELEFILM,1er,2016-11-29,2016-11-29,48.856182, 2.342193
LOVE LOCKS,MARTIN WOOD,RUE  DE HARLAY,LES FILMS DU MARIGOT,TELEFILM,1er,2016-11-30,2016-11-30,48.856701, 2.343164
MADAME,AMANDA STHERS,PLACE  DES PETITS PERES,LGM FILMS,LONG METRAGE,1er,2016-08-29,2016-08-29,48.866713, 2.336797
MARIAGE BLANC,TAREK BOUDALI,PLACE  MIREILLE,AXEL FILMS,LONG METRAGE,1er,2016-09-12,2016-09-12,48.862265, 2.345678
MARIAGE BLANC,TAREK BOUDALI,RUE  DE LA COSSONNERIE,AXEL FILMS,LONG METRAGE,1er,2016-09-16,2016-09-16,48.861539, 2.348699
MARIAGE BLANC,TAREK BOUDALI,RUE  DE RICHELIEU,AXEL FILMS,LONG METRAGE,1er,2016-09-12,2016-09-12,48.865226, 2.336705
MARIAGE BLANC,TAREK BOUDALI,RUE  VILLEDO,AXEL FILMS,LONG METRAGE,1er,2016-09-12,2016-09-12,48.866246, 2.336195
MARVIN,ANNE FONTAINE,PONT  NEUF,CINE @,LONG METRAGE,1er,2016-09-23,2016-09-23,48.860317, 2.344139
MON POUSSIN,FREDERIC FORESTIER,2  RUE  DU PONT NEUF,LES FILMS DU 24,LONG METRAGE,1er,2016-03-08,2016-03-08,48.859427, 2.343759
MONSIEUR ET MADAME ADELMAN,NICOLAS BEDOS,RUE  DE BEAUJOLAIS,LES FILMS DU KIOSQUE,LONG METRAGE,1er,2016-02-09,2016-02-09,48.866089, 2.338506
NUMERO UNE,TONIE MARSHALL,110  GALERIE  DE VALOIS (RESTAURANT DU PALAIS ROYAL),TABO TABO FILMS,LONG METRAGE,1er,2016-11-21,2016-11-21,48.865653, 2.338945
NUMERO UNE,TONIE MARSHALL,2  PLACE  DES PYRAMIDES/HOTEL REGINA,TABO TABO FILMS,LONG METRAGE,1er,2016-10-21,2016-10-21,48.863961, 2.332599
ON THE FRENCH RIVIERA,ALAN SWYER,PLACE  DAUPHINE,BELLE EPOQUE FILMS,LONG METRAGE,1er,2016-08-28,2016-08-28,48.856822, 2.342303
ON THE FRENCH RIVIERA,ALAN SWYER,PLACE  DAUPHINE,BELLE EPOQUE FILMS,LONG METRAGE,1er,2016-08-29,2016-08-29,48.856822, 2.342303
OUI MADEMOISELLE,YISHU YANG,PONT  NEUF,BAYOO,LONG METRAGE,1er,2016-03-12,2016-03-12,48.860317, 2.344139
OUI MADEMOISELLE,YISHU YANG,RUE  BERTIN POIREE,BAYOO,LONG METRAGE,1er,2016-03-13,2016-03-13,48.858696, 2.344732
OVERDRIVE,ANTONIO NEGRET,46  RUE  CAMBON,OVERDRIVE PRODUCTIONS,LONG METRAGE,1er,2016-03-01,2016-03-01,48.869303, 2.327837
PLONGER,MELANIE LAURENT,46  RUE  COQUILLERE,MOVE MOVIE,LONG METRAGE,1er,2016-05-03,2016-05-03,48.864175, 2.341803
PLONGER,MELANIE LAURENT,RUE  HEROLD,MOVE MOVIE,LONG METRAGE,1er,2016-05-03,2016-05-03,48.864965, 2.341557
RED OAKS,HALL HARTLEY,1  RUE  DE CASTIGLIONE,FIRSTEP,SERIE TELEVISEE,1er,2016-08-04,2016-08-04,48.865506, 2.327274
STAY WITH ME,XIANCHENG DENG,PONT  DES ARTS,PARIS 818 MEDIA,SERIE TELEVISEE,1er,2016-03-31,2016-03-31,48.863109, 2.33838
STAY WITH ME,XIANCHENG DENG,QUAI  FRANCOIS MITTERRAND,PARIS 818 MEDIA,SERIE TELEVISEE,1er,2016-03-29,2016-03-29,48.860148, 2.333674
STAY WITH ME,XIANCHENG DENG,RUE  DE L'AMIRAL DE COLIGNY,PARIS 818 MEDIA,SERIE TELEVISEE,1er,2016-03-31,2016-03-31,48.860483, 2.340848
STAY WITH ME,XIANCHENG DENG,RUE  DE L'ORATOIRE,PARIS 818 MEDIA,SERIE TELEVISEE,1er,2016-03-31,2016-03-31,48.861513, 2.340245
TELLE MERE TELLE FILLE,NOEMIE SAGLIO,1  PLACE  DU CHATELET,PAN EUROPENNE PRODUCTION,LONG METRAGE,1er,2016-07-18,2016-07-19,48.8576, 2.346755
TELLE MERE TELLE FILLE,NOEMIE SAGLIO,29  RUE  JEAN JACQUES ROUSSEAU,PAN EUROPENNE PRODUCTION,LONG METRAGE,1er,2016-08-04,2016-08-04,48.862997, 2.341307
THE AFFAIR,JEFFREY REINER,PONT  NEUF,GEM FILMS,SERIE TELEVISEE,1er,2016-12-07,2016-12-07,48.860317, 2.344139
THE ESCAPE,DOMINIC SAVAGE,PLACE  DU CARROUSEL,HANNA FILMS,LONG METRAGE,1er,2016-10-21,2016-10-21,48.862265, 2.345678
THE ESCAPE,DOMINIC SAVAGE,PLACE  DU PALAIS ROYAL,HANNA FILMS,LONG METRAGE,1er,2016-10-21,2016-10-21,48.862388, 2.337206
THE ESCAPE,DOMINIC SAVAGE,RUE  DE RIVOLI,HANNA FILMS,LONG METRAGE,1er,2016-10-21,2016-10-21,48.861863, 2.338081
THE ESCAPE,DOMINIC SAVAGE,RUE  DE ROHAN,HANNA FILMS,LONG METRAGE,1er,2016-10-21,2016-10-21,48.862929, 2.335442
THE ESCAPE,DOMINIC SAVAGE,RUE  SAINT HONORE,HANNA FILMS,LONG METRAGE,1er,2016-10-21,2016-10-21,48.863258, 2.335191
THE PACKAGE,CHANG KEUN CHUN,PONT  DES ARTS,BH PARIS MEDIA PRODUCTIONS,SERIE TELEVISEE,1er,2016-10-20,2016-10-20,48.863109, 2.33838
THE PACKAGE,CHANG KEUN CHUN,PONT  NEUF,BH PARIS MEDIA PRODUCTIONS,SERIE TELEVISEE,1er,2016-10-12,2016-10-12,48.860317, 2.344139
UNE VIE VIOLENTE,THIERRY DE PERRETI,PLACE  DAUPHINE,LES FILMS VELVET,LONG METRAGE,1er,2016-06-16,2016-06-16,48.856822, 2.342303
VIVE LA CRISE,JEAN FRANCOIS DAVY,PASSAGE  DES JACOBINS,LES FILMS MONTAIGNE,LONG METRAGE,1er,2016-05-30,2016-06-01,48.867028, 2.33172
VIVE LA CRISE,JEAN FRANCOIS DAVY,PLACE  DU PALAIS ROYAL,LES FILMS MONTAIGNE,LONG METRAGE,1er,2016-06-03,2016-06-03,48.862388, 2.337206
VIVE LA CRISE,JEAN FRANCOIS DAVY,PLACE  VENDOME,LES FILMS MONTAIGNE,LONG METRAGE,1er,2016-06-01,2016-06-01,48.868113, 2.329705
VIVE LA CRISE,JEAN FRANCOIS DAVY,RUE  CATINAT/PLACE DES VICTOIRES (ANGLE),LES FILMS MONTAIGNE,LONG METRAGE,1er,2016-06-02,2016-06-03,48.865449, 2.340901
WAR MACHINE,DAVID MICHOD,QUAI  DES TUILERIES,FIRSTEP,LONG METRAGE,1er,2016-01-31,2016-01-31,48.856182, 2.342193
WAR MACHINE,DAVID MICHOD,RUE  DE MONTPENSIER,FIRSTEP,LONG METRAGE,1er,2016-01-31,2016-01-31,48.865278, 2.336977
WAR MACHINE,DAVID MICHOD,RUE  DE RIVOLI,FIRSTEP,LONG METRAGE,1er,2016-01-30,2016-01-30,48.861863, 2.338081
WAR MACHINE,DAVID MICHOD,RUE  DE RIVOLI,FIRSTEP,LONG METRAGE,1er,2016-01-31,2016-01-31,48.861863, 2.338081
10%/SAISON 2,JEANNE HERRY,1  BOULEVARD  POISSONNIERE,MON VOISIN PRODUCTIONS,SERIE TELEVISEE,2ème,2016-10-03,2016-10-03,48.870665, 2.3478
10%/SAISON 2,JEANNE HERRY,2  RUE  VIVIENNE,MON VOISIN PRODUCTIONS,SERIE TELEVISEE,2ème,2016-09-19,2016-09-19,48.866495, 2.33884
120 BATTEMENTS PAR MINUTE,ROBIN CAMPILLO,RUE  SAINT DENIS,LES FILMS DE PIERRE,LONG METRAGE,2ème,2016-09-12,2016-09-12,48.866753, 2.351137
AMANT DOUBLE,FRANCOIS OZON,11  BOULEVARD  POISSONNIERE,MANDARIN FILMS,LONG METRAGE,2ème,2016-10-27,2016-10-27,48.870891, 2.345744
C'EST TOUT POUR MOI,L. COLBEAU JUSTIN,155  RUE  MONTMARTRE/LE CAFE OSCAR,LGM CINEMA,LONG METRAGE,2ème,2016-03-16,2016-03-17,48.870642, 2.342614
